content,author,year,date_mm_dd,split,VST,HST,SA,OR,WB
"I do live at my lodgings in the Navy Office, my family being, besides my wife and I, Jane Gentleman, Besse, our excellent, good-natured cookmayde, and Susan, a little girle, having neither man nor boy, nor like to have again a good while, living now in most perfect content and quiett, and very frugally also; my health pretty good, but only that I have been much troubled with a costiveness which I am labouring to get away, and have hopes of doing it. At the office I am well, though envied to the devil by Sir William Batten, who hates me to death, but cannot hurt me. The rest either love me, or at least do not show otherwise, though I know Sir W. Pen to be a false knave touching me, though he seems fair. My father and mother well in the country; and at this time the young ladies of Hinchingbroke with them, their house having the small-pox in it. The Queene after a long and sore sicknesse is become well again; and the King minds his mistresse a little too much, if it pleased God! but I hope all things will go well, and in the Navy particularly, wherein I shall do my duty whatever comes of it. The great talke is the designs of the King of France, whether against the Pope or King of Spayne nobody knows; but a great and a most promising Prince he is, and all the Princes of Europe have their eye upon him. My wife’s brother come to great unhappiness by the ill-disposition, my wife says, of his wife, and her poverty, which she now professes, after all her husband’s pretence of a great fortune, but I see none of them, at least they come not to trouble me.",pepys,1663,12-31,uncertain,,,,,
"Minnes by appointment to Auditor Beale’s in Salisbury Court, and there we did with great content look over some old ledgers to see in what manner they were kept, and indeed it was in an extraordinary good method, and such as (at least out of design to keep them employed) I do persuade Sir J. Minnes to go upon, which will at least do as much good it may be to keep them for want of something to do from envying those that do something. Thence calling to see whether Mrs. Turner was returned, which she is, and I spoke one word only to her, and away again by coach home and to my office, where late, and then home to supper and bed.",pepys,1664,01-07,uncertain,,,,,
"But one good thing she said, she cried mightily out against the having of gentlemen Captains with feathers and ribbands, and wished the King would send her husband to sea with the old plain sea Captains, that he served with formerly, that would make their ships swim with blood, though they could not make legs as Captains nowadays can. It grieved me to see how slightly the Duke do every thing in the world, and how the King and every body suffers whatever he will to be done in the Navy, though never so much against reason, as in the business of recalling tickets, which will be done notwithstanding all the arguments against it. So back again to my office, and there to business and so to bed.",pepys,1666,01-10,uncertain,,,,,
"There is one also dead out of one of our ships at Deptford, which troubles us mightily; the Providence fire-ship, which was just fitted to go to sea. But they tell me to-day no more sick on board. And this day W. Bodham tells me that one is dead at Woolwich, not far from the Rope-yard. I am told, too, that a wife of one of the groomes at Court is dead at Salsbury; so that the King and Queene are speedily to be all gone to Milton. God preserve us! 13th (Lord’s day). Up betimes and to my chamber, it being a very wet day all day, and glad am I that we did not go by water to see “The Soveraigne” to-day, as I intended, clearing all matters in packing up my papers and books, and giving instructions in writing to my executors, thereby perfecting the whole business of my will, to my very great joy; so that I shall be in much better state of soul, I hope, if it should please the Lord to call me away this sickly time. At night to read, being weary with this day’s great work, and then after supper to bed, to rise betimes to-morrow, and to bed with a mind as free as to the business of the world as if I were not worth L100 in the whole world, every thing being evened under my hand in my books and papers, and upon the whole I find myself worth, besides Brampton estate, the sum of L2164, for which the Lord be praised!",pepys,1665,08-12,uncertain,,,,,
"Up, and to the office; where Mr. Fryer comes and tells me that there are several Frenchmen and Flemish ships in the River, with passes from the Duke of York for carrying of prisoners, that ought to be parted from the rest of the ships, and their powder taken, lest they do fire themselves when the enemy comes, and so spoil us; which is good advice, and I think I will give notice of it; and did so. But it is pretty odd to see how every body, even at this high time of danger, puts business off of their own hands! He says that he told this to the Lieutenant of the Tower, to whom I, for the same reason, was directing him to go; and the Lieutenant of the Tower bade him come to us, for he had nothing to do with it; and yesterday comes Captain Crew, of one of the fireships, and told me that the officers of the Ordnance would deliver his gunner’s materials, but not compound them, but that we must do it; whereupon I was forced to write to them about it; and one that like a great many come to me this morning by and by comes--Mr. Wilson, and by direction of his, a man of Mr. Gawden’s; who come from Chatham last night, and saw the three ships burnt, they lying all dry, and boats going from the men-of-war and fire them.",pepys,1667,06-14,uncertain,,,,,
"Batten and I home (where met by my brother John, come to town to see how things are with us), and then presently he with me to Gresham College; where infinity of people, partly through novelty to see the new place, and partly to find out and hear what is become one man of another. I met with many people undone, and more that have extraordinary great losses. People speaking their thoughts variously about the beginning of the fire, and the rebuilding; of the City. Then to Sir W. Batten’s, and took my brothet with me, and there dined with a great company of neighbours; and much good discourse; among others, of the low spirits of some rich men in the City, in sparing any encouragement to the poor people that wrought for the saving their houses. Among others, Alderman Starling, a very rich man, without; children, the fire at next door to him in our lane, after our men had saved his house, did give 2s. 6d. among thirty of them, and did quarrel with some that would remove the rubbish out of the way of the fire, saying that they come to steal. Sir W. Coventry told me of another this morning, in Holborne, which he shewed the King that when it was offered to stop the fire near his house for such a reward that came but to 2s. 6d. a man among the neighbours he would, give but 18d. Thence to Bednall Green by coach, my brother with me, and saw all well there, and fetched away my journall book to enter for five days past, and then back to the office where I find Bagwell’s wife, and her husband come home.",pepys,1666,09-08,uncertain,,,,,
"Several captains come to the office yesterday and to-day, complaining that their men come and go when they will, and will not be commanded, though they are paid every night, or may be. Nay, this afternoon comes Harry Russell from Gravesend, telling us that the money carried down yesterday for the Chest at Chatham had like to have been seized upon yesterday, in the barge there, by seamen, who did beat our watermen: and what men should these be but the boat’s crew of Sir Fretcheville Hollis, who used to brag so much of the goodness and order of his men, and his command over them. Busy all the afternoon at the office. Towards night I with Mr. Kinaston to White Hall about a Tangier order, but lost our labour, only met Sir H. Cholmly there, and he tells me great newes; that this day in Council the King hath declared that he will call his Parliament in thirty days: which is the best newes I have heard a great while, and will, if any thing, save the kingdom. How the King come to be advised to this, I know not; but he tells me that it was against the Duke of York’s mind flatly, who did rather advise the King to raise money as he pleased; and against the Chancellor’s, who told the King that Queen Elizabeth did do all her business in eighty-eight without calling a Parliament, and so might he do, for anything he saw. But, blessed be God! it is done; and pray God it may hold, though some of us must surely go to the pot, for all must be flung up to them, or nothing will be done. So back home, and my wife down by water, I sent her, with Mrs.",pepys,1667,06-25,uncertain,,,,,
"Pierce, the chyrurgeon, who tells me how ill things go at Court: that the King do show no countenance to any that belong to the Queen; nor, above all, to such English as she brought over with her, or hath here since, for fear they should tell her how he carries himself to Mrs. Palmer;--[Lady Castlemaine.]--insomuch that though he has a promise, and is sure of being made her chyrurgeon, he is at a loss what to do in it, whether to take it or no, since the King’s mind is so altered in favour to all her dependants, whom she is fain to let go back into Portugall (though she brought them from their friends against their wills with promise of preferment), without doing any thing for them. But he tells me that her own physician did tell him within these three days that the Queen do know how the King orders things, and how he carries himself to my Lady Castlemaine and others, as well as any body; but though she hath spirit enough, yet seeing that she do no good by taking notice of it, for the present she forbears it in policy; of which I am very glad. But I pray God keep us in peace; for this, with other things, do give great discontent to all people.",pepys,1662,10-24,uncertain,,,,,
"I am also upon writing a little treatise to present to the Duke, about our privilege in the seas, as to other nations striking their flags to us. But my greatest trouble is, that I have for this last half year been a very great spendthrift in all manner of respects, that I am afeard to cast up my accounts, though I hope I am worth what I say above. But I will cast them up very shortly. I have newly taken a solemn oath about abstaining from plays and wine, which I am resolved to keep according to the letter of the oath which I keep by me. The fleet hath been ready to sail for Portugall, but hath lacked wind this fortnight, and by that means my Lord is forced to keep at sea all this winter, till he brings home the Queen, which is the expectation of all now, and the greatest matter of publique talk.",pepys,1661,12-31,uncertain,,,,,
"After supper and some discourse then to my Inn, where I found my father in his chamber, and after some discourse, and he well satisfied with this day’s work, we went to bed, my brother lying with me, his things not being come by the carrier that he could not lie in the College. 26th (Sunday). My brother went to the College to Chapel. My father and I went out in the morning, and walked out in the fields behind King’s College, and in King’s College Chapel Yard, where we met with Mr. Fairbrother, who took us to Botolph’s Church, where we heard Mr. Nicholas, of Queen’s College, who I knew in my time to be Tripos, with great applause, upon this text, “For thy commandments are broad.” Thence my father and I to Mr. Widdrington’s chamber to dinner, where he used us very courteously again, and had two Fellow Commoners at table with him, and Mr. Pepper, a Fellow of the College. After dinner, while we sat talking by the fire, Mr. Pierces man came to tell me that his master was come to town, so my father and I took leave, and found Mr. Pierce at our Inn, who told us that he had lost his journey, for my Lord was gone from Hinchingbroke to London on Thursday last, at which I was a little put to a stand. So after a cup of drink I went to Magdalene College to get the certificate of the College for my brother’s entrance there, that he might save his year. I met with Mr. Burton in the Court, who took me to Mr. Pechell’s chamber, where he was and Mr. Zanchy. By and by, Mr.",pepys,1660,02-25,uncertain,,,,,
"Pepys, you and I will take a turn in the garden.” So he was led down stairs, having the goute, and there walked with me, I think, above an houre, talking most friendly, yet cunningly. I told him clearly how things were; how ignorant I was of his Lordship’s concernment in it; how I did not do nor say one word singly, but what was done was the act of the whole Board. He told me by name that he was more angry with Sir G. Carteret than with me, and also with the whole body of the Board. But thinking who it was of the Board that knew him least, he did place his fear upon me; but he finds that he is indebted to none of his friends there. I think I did thoroughly appease him, till he thanked me for my desire and pains to satisfy him; and upon my desiring to be directed who I should of his servants advise with about this business, he told me nobody, but would be glad to hear from me himself. He told me he would not direct me in any thing, that it might not be said that the Lord Chancellor did labour to abuse the King; or (as I offered) direct the suspending the Report of the Purveyors but I see what he means, and I will make it my worke to do him service in it. But, Lord! to see how he is incensed against poor Deane, as a fanatique rogue, and I know not what: and what he did was done in spite to his Lordship, among all his friends and tenants.",pepys,1664,07-14,uncertain,,,,,
"Hewer’s, where there was some learned physic and chymical books, and among others, a natural “Herball” very fine. Here we staid not, but to the Duke of York’s play house, and there saw “Mustapha,” which, the more I see, the more I like; and is a most admirable poem, and bravely acted; only both Betterton and Harris could not contain from laughing in the midst of a most serious part from the ridiculous mistake of one of the men upon the stage; which I did not like. Thence home, where Batelier and his sister Mary come to us and sat and talked, and so, they gone, we to supper and to bed.",pepys,1667,09-04,uncertain,,,,,
"Up and to my office, whither by and by came John Noble, my father’s old servant, to speake with me. I smelling the business, took him home; and there, all alone, he told me how he had been serviceable to my brother Tom, in the business of his getting his servant, an ugly jade, Margaret, with child. She was brought to bed in St. Sepulchre’s parish of two children; one is dead, the other is alive; her name Elizabeth, and goes by the name of Taylor, daughter to John Taylor. It seems Tom did a great while trust one Crawly with the business, who daily got money of him; and at last, finding himself abused, he broke the matter to J. Noble, upon a vowe of secresy. Tom’s first plott was to go on the other side the water and give a beggar woman something to take the child. They did once go, but did nothing, J. Noble saying that seven years hence the mother might come to demand the child and force him to produce it, or to be suspected of murder. Then I think it was that they consulted, and got one Cave, a poor pensioner in St. Bride’s parish to take it, giving him L5, he thereby promising to keepe it for ever without more charge to them. The parish hereupon indite the man Cave for bringing this child upon the parish, and by Sir Richard Browne he is sent to the Counter. Cave thence writes to Tom to get him out. Tom answers him in a letter of his owne hand, which J.",pepys,1664,04-06,uncertain,,,,,
"I away back again, to find a dinner anywhere else, and so I, first, to the Ship Tavern, thereby to get a sight of the pretty mistress of the house, with whom I am not yet acquainted at all, and I do always find her scolding, and do believe she is an ill-natured devil, that I have no great desire to speak to her. Here I drank, and away by coach to the Strand, there to find out Mr. Moore, and did find him at the Bell Inn, and there acquainted him with what passed between me and the Commissioners to-day about the prize goods, in order to the considering what to do about my Lord Sandwich, and did conclude to own the thing to them as done by the King’s allowance, and since confirmed. Thence to other discourse, among others, he mightily commends my Lord Hinchingbroke’s match and Lady, though he buys her L10,000 dear, by the jointure and settlement his father makes her; and says that the Duke of York and Duchess of York did come to see them in bed together, on their wedding-night, and how my Lord had fifty pieces of gold taken out of his pocket that night, after he was in bed. He tells me that an Act of Comprehension is likely to pass this Parliament, for admitting of all persuasions in religion to the public observation of their particular worship, but in certain places, and the persons therein concerned to be listed of this, or that Church; which, it is thought, will do them more hurt than good, and make them not own, their persuasion.",pepys,1668,02-05,uncertain,,,,,
"Up and to my office, where with Captain Cocke making an end of his last night’s accounts till noon, and so home to dinner, my wife being come in from laying out about L4 in provision of several things against Lent. In the afternoon to the Temple, my brother’s, the Wardrobe, to Mr. Moore, and other places, called at about small businesses, and so at night home to my office and then to supper and to bed. The Commons in Parliament, I hear, are very high to stand to the Act of Uniformity, and will not indulge the Papists (which is endeavoured by the Court Party) nor the Presbyters.",pepys,1663,02-25,uncertain,,,,,
"Up, and Sir W. Warren with me betimes and signed a bond, and assigned his order on the Exchequer to a blank for me to fill and I did deliver him L1900. The truth is, it is a great venture to venture so much on the Act, but thereby I hedge in L300 gift for my service about some ships that he hath bought, prizes, and good interest besides, and his bond to repay me the money at six weeks’ warning. So to the office, where busy all the morning. At noon home to dinner, and there my brother Balty dined with me and my wife, who is become a good serious man, and I hope to do him good being sending him a Muster-Master on one of the squadrons of the fleete. After dinner and he gone I to my accounts hard all the afternoon till it was quite darke, and I thank God I do come to bring them very fairly to make me worth L5,000 stocke in the world, which is a great mercy to me. Though I am a little troubled to find L50 difference between the particular account I make to myself of my profits and loss in each month and the account which I raise from my acquittances and money which I have at the end of every month in my chest and other men’s hands. However I do well believe that I am effectually L5,000, the greatest sum I ever was in my life yet, and this day I have as I have said before agreed with Sir W. Warren and got of him L300 gift.",pepys,1666,04-03,uncertain,,,,,
"and Balty looked upon me like a man at a losse what I meant, thinking at first that I meant only that I had said the grace after meat instead of that before meat. But then I cried, what is become of my lobsters? Whereupon he run out of doors to overtake the coach, but could not, so came back again, and mighty merry at dinner to thinke of my surprize. After dinner to the Excise Office by appointment, and there find my Lord Bellasses and the Commissioners, and by and by the whole company come to dispute the business of our running so far behindhand there, and did come to a good issue in it, that is to say, to resolve upon having the debt due to us, and the Household and the Guards from the Excise stated, and so we shall come to know the worst of our condition and endeavour for some helpe from my Lord Treasurer. Thence home, and put off Balty, and so, being invited, to Sir Christopher Mings’s funeral, but find them gone to church. However I into the church (which is a fair, large church, and a great chappell) and there heard the service, and staid till they buried him, and then out. And there met with Sir W.",pepys,1666,06-13,uncertain,,,,,
"At the office all the morning, and at noon took my Lord Bruncker into the garden, and there told him of his man Carcasses proceedings against the Office in the House of Commons. I did [not] desire nor advise him anything, but in general, that the end of this might be ruin to the Office, but that we shall be brought to fencing for ourselves, and that will be no profit to the office, but let it light where it would I thought I should be as well as any body. This I told him, and so he seeming to be ignorant of it, and not pleased with it, we broke off by Sir Thos. Harvy’s coming to us from the Pay Office, whither we had sent a smart letter we had writ to him this morning about keeping the clerks at work at the making up the books, which I did to place the fault somewhere, and now I let him defend himself. He was mighty angry, and particularly with me, but I do not care, but do rather desire it, for I will not spare him, that we shall bear the blame, and such an idle fellow as he have L500 a year for nothing. So we broke off, and I home to dinner, and then to the office, and having spent the afternoon on letters, I took coach in the evening, and to White Hall, where there is to be a performance of musique of Pelham’s before the King.",pepys,1667,11-16,uncertain,,,,,
"The Speaker, they found, was kept from coming in the morning to the House on purpose, till after the King was come to the House of Lords, for fear they should be doing anything in the House of Commons to the further dissatisfaction of the King and his courtiers. They do all give up the kingdom for lost that I speak to; and do hear what the King says, how he and the Duke of York do do what they can to get up an army, that they may need no more Parliaments: and how my Lady Castlemayne hath, before the late breach between her and the King, said to the King that he must rule by an army, or all would be lost, and that Bab. May hath given the like advice to the King, to crush the English gentlemen, saying that L300 a-year was enough for any man but them that lived at Court. I am told that many petitions were provided for the Parliament, complaining of the wrongs they have received from the Court and courtiers, in city and country, if the Parliament had but sat: and I do perceive they all do resolve to have a good account of the money spent before ever they give a farthing more: and the whole kingdom is everywhere sensible of their being abused, insomuch that they forced their Parliament-men to come up to sit; and my cozen Roger told me that (but that was in mirth) he believed, if he had not come up, he should have had his house burned.",pepys,1667,07-29,uncertain,,,,,
"So to bed about two o’clock, and then up about seven and to White Hall, where read over my report to Lord Arlington and Berkeley, and then afterward at the Council Board with great good liking, but, Lord! how it troubled my eyes, though I did not think I could have done it, but did do it, and was not very bad afterward. So home to dinner, and thence out to the Duke of York’s playhouse, and there saw “The Guardian;” formerly the same, I find, that was called “Cutter of Coleman Street;” a silly play. And thence to Westminster Hall, where I met Fitzgerald; and with him to a tavern, to consider of the instructions for Sir Thomas Allen, against his going to Algiers; he and I being designed to go down to Portsmouth by the Council’s order, and by and by he and I went to the Duke of York, who orders me to go down to-morrow morning. So I away home, and there bespeak a coach; and so home and to bed, my wife being abroad with the Mercers walking in the fields, and upon the water.",pepys,1668,08-05,uncertain,,,,,
"Up by 4 in the morning to write letters to sea and a commission for him that Murford solicited for. Called on by Captain Sparling, who did give me my Dutch money again, and so much as he had changed into English money, by which my mind was eased of a great deal of trouble. Some other sea captains. I did give them a good morning draught, and so to my Lord (who lay long in bed this day, because he came home late from supper with the King). With my Lord to the Parliament House, and, after that, with him to General Monk’s, where he dined at the Cock-pit. I home and dined with my wife, now making all things ready there again. Thence to my Lady Pickering, who did give me the best intelligence about the Wardrobe. Afterwards to the Cockpit to my Lord with Mr. Townsend, one formerly and now again to be employed as Deputy of the Wardrobe. Thence to the Admiralty, and despatched away Mr. Cooke to sea; whose business was a letter from my Lord about Mr. G. Montagu to be chosen as a Parliament-man in my Lord’s room at Dover;’ and another to the Vice-Admiral to give my Lord a constant account of all things in the fleet, merely that he may thereby keep up his power there; another letter to Captn. Cuttance to send the barge that brought the King on shore, to Hinchingbroke by Lynne. To my own house, meeting G. Vines, and drank with him at Charing Cross, now the King’s Head Tavern.",pepys,1660,06-20,uncertain,,,,,
"Up betimes to my office, busy, and so abroad to change some plate for my father to send to-day by the carrier to Brampton, but I observe and do fear it may be to my wrong that I change spoons of my uncle Robert’s into new and set a P upon them that thereby I cannot claim them hereafter, as it was my brother Tom’s practice. However, the matter of this is not great, and so I did it. So to the ‘Change, and meeting Sir W. Warren, with him to a taverne, and there talked, as we used to do, of the evils the King suffers in our ordering of business in the Navy, as Sir W. Batten now forces us by his knavery. So home to dinner, and to the office, where all the afternoon, and thence betimes home, my eyes beginning every day to grow less and less able to bear with long reading or writing, though it be by daylight; which I never observed till now. So home to my wife, and after supper to bed.",pepys,1664,05-05,uncertain,,,,,
"Before I went to the office my wife’s brother did come to us, and we did instruct him to go to Gosnell’s and to see what the true matter is of her not coming, and whether she do intend to come or no, and so I to the office; and this morning come Sir G. Carteret to us (being the first time we have seen him since his coming from France): he tells us, that the silver which he received for Dunkirk did weigh 120,000 weight. Here all the morning upon business, and at noon (not going home to dinner, though word was brought me that Will. Joyce was there, whom I had not seen at my house nor any where else these three or four months) with Mr. Coventry by his coach as far as Fleet Street, and there stepped into Madam Turner’s, where was told I should find my cozen Roger Pepys, and with him to the Temple, but not having time to do anything I went towards my Lord Sandwich’s. (In my way went into Captn. Cuttance’s coach, and with him to my Lord’s.) But the company not being ready I did slip down to Wilkinson’s, and having not eat any thing to-day did eat a mutton pie and drank, and so to my Lord’s, where my Lord and Mr. Coventry, Sir Wm. Darcy, one Mr. Parham (a very knowing and well-spoken man in this business), with several others, did meet about stating the business of the fishery, and the manner of the King’s giving of this L200 to every man that shall set out a new-made English Busse by the middle of June next.",pepys,1662,11-29,uncertain,,,,,
"Pickering, and he and I to see the monkeys at the Dutch house, which is far beyond the other that my wife and I saw the other day; and thence to see the dancing on the ropes, which was very poor and tedious. But he and I fell in discourse about my Lord Sandwich. He tells me how he is sorry for my Lord at his being at Chelsey, and that his but seeming so to my Lord without speaking one word, had put him clear out of my Lord’s favour, so as that he was fain to leave him before he went into the country, for that he was put to eat with his servants; but I could not fish from him, though I knew it, what was the matter; but am very sorry to see that my Lord hath thus much forgot his honour, but am resolved not to meddle with it. The play being done, I stole from him and hied home, buying several things at the ironmonger’s--dogs, tongs, and shovels--for my wife’s closett and the rest of my house, and so home, and thence to my office awhile, and so home to supper and to bed. By my letters from Tangier today I hear that it grows very strong by land, and the Mole goes on. They have lately killed two hundred of the Moores, and lost about forty or fifty. I am mightily afeard of laying out too much money in goods upon my house, but it is not money flung away, though I reckon nothing money but when it is in the bank, till I have a good sum beforehand in the world.",pepys,1663,09-07,uncertain,,,,,
"Up; and my wife, and I, and W. Hewer to White Hall, where she set us down; and there I spoke with my Lord Peterborough, to tell him of the day for his dining with me being altered by my Lord Sandwich from Friday to Saturday next. And thence heard at the Council-board the City, by their single counsel Symson, and the company of Strangers Merchants, a debate the business of water-baylage; a tax demanded upon all goods, by the City, imported and exported: which these Merchants oppose, and demanding leave to try the justice of the City’s demand by a Quo Warranto, which the City opposed, the Merchants did quite lay the City on their backs with great triumph, the City’s cause being apparently too weak: but here I observed Mr. Gold, the merchant, to speak very well, and very sharply, against the City. Thence to my wife at Unthanke’s, and with her and W. Hewer to Hercules Pillars, calling to do two or three things by the way, end there dined, and thence to the Duke of York’s house, and saw “Twelfth Night,” as it is now revived; but, I think, one of the weakest plays that ever I saw on the stage. This afternoon, before the play, I called with my wife at Dancre’s, the great landscape-painter, by Mr. Povy’s advice; and have bespoke him to come to take measure of my dining-room panels, and there I met with the pretty daughter of the coalseller’s, that lived in Cheapside, and now in Covent Garden, who hath her picture drawn here, but very poorly; but she is a pretty woman, and now, I perceive, married, a very pretty black woman.",pepys,1669,01-20,uncertain,,,,,
"Hewer, Mercer, and the girle, and mighty pleasant all the evening, and so to bed with my wife, which I have not done since her being ill for three weeks or thereabouts.",pepys,1667,12-27,certain,,,,,
"So to the office a little, and then home to supper and to bed, after hearing my wife sing, who is manifestly come to be more musical in her eare than ever I thought she could have been made, which rejoices me to the heart, for I take great delight now to hear her sing.",pepys,1667,05-07,certain,,,,,
"Office day. There all the morning. Dined at home alone with my wife, and so staid within all the afternoon and evening; at my lute, with great pleasure, and so to bed with great content.",pepys,1660,12-28,certain,,,,,
"Howe come home to-day with my wife, and staid with us all night, staying late up singing songs, and then he and I to bed together in Ashwell’s bed and she with my wife. This the first time that I ever lay in the room. This day Greatorex brought me a very pretty weather-glass for heat and cold.",pepys,1663,03-23,certain,,,,,
"I did this night give him 20s. for books, and as much for his pocket, and 15s. to carry him down, and so to bed. Poor fellow! he is so melancholy, and withal, my wife says, harmless, that I begin to love him, and would be loth he should not do well.",pepys,1667,02-07,certain,,,,,
"Lay long in bed, then up, and many people to speak with me. Then to my office, and dined at noon at home, then to the office again, where we sat all the afternoon, and then home at night to a little supper, and so after my office again at 12 at night home to bed.",pepys,1664,12-13,certain,,,,,
"So home, and by and by comes my wife by coach well home, and having got a good fowl ready for supper against her coming, we eat heartily, and so with great content and ease to our own bed, there nothing appearing so to our content as to be at our own home, after being abroad awhile.",pepys,1663,09-21,certain,,,,,
"So home to supper and to bed, being mightily pleased with all my house and my red chamber, where my wife and I intend constantly to lie, and the having of our dressing room and mayds close by us without any interfering or trouble.",pepys,1663,10-13,certain,,,,,
"However musique and women I cannot but give way to, whatever my business is. They being gone I to the office a while and so home to supper and to bed.",pepys,1666,03-09,certain,,,,,
"Up betimes, and all day long within doors upon my accounts, publique and private, and find the ill effect of letting them go so long without evening, that no soul could have ever understood them but myself, and I with much ado. But, however, my regularity in all I did and spent do helpe me, and I hope to find them well. Late at them and to bed.",pepys,1665,12-29,certain,,,,,
"Coventry I took leave of Creed (very good friends) and away home, and there took out my father, wife, sister, and Mercer our grand Tour in the evening, and made it ten at night before we got home, only drink at the doore at Islington at the Katherine Wheel, and so home and to the office a little, and then to bed.",pepys,1666,06-14,certain,,,,,
"Up and to the office, where we sat all the morning busy, then at noon dined and Mr. Sheply with me, who come to towne the other day. I lent him 630 in silver upon 30 pieces in gold. But to see how apt every body is to neglect old kindnesses! I must charge myself with the ingratitude of being unwilling to lend him so much money without some pawne, if he should have asked it, but he did not aske it, poor man, and so no harm done. After dinner, he gone, I to my office and Lumbard Streete about money, and then to my office again, very busy, and so till late, and then a song with my wife and Mercer in the garden, and so with great content to bed.",pepys,1666,07-05,certain,,,,,
"Turner and Hollworthy home to my house, and there gave wine and sweetmeats; but I find Mrs. Hollworthy but a mean woman, I think, for understanding, only a little conceited, and proud, and talking, but nothing extraordinary in person, or discourse, or understanding. However, I was mightily pleased with her being there, I having long longed for to know her, and they being gone, I paid the fiddlers L3 among the four, and so away to bed, weary and mightily pleased, and have the happiness to reflect upon it as I do sometimes on other things, as going to a play or the like, to be the greatest real comfort that I am to expect in the world, and that it is that that we do really labour in the hopes of; and so I do really enjoy myself, and understand that if I do not do it now I shall not hereafter, it may be, be able to pay for it, or have health to take pleasure in it, and so fill myself with vain expectation of pleasure and go without it.",pepys,1668,01-06,certain,,,,,
"So away:; and to White Hall, and there took my own coach, which was now come, and so away home, and there to do business, and my wife being come home we to talk and to sup, there having been nothing yet like discovery in my wife of what hath lately passed with me about Deb., and so with great content to bed",pepys,1669,04-19,certain,,,,,
"She and I did cast about how to get Captain Grove for my sister, in which we are mighty earnest at present, and I think it would be a good match, and will endeavour it. So to my office a while, then home to supper and to bed.",pepys,1664,02-09,certain,,,,,
"At the office all the morning, so dined at home, and then abroad with my wife by coach to the Theatre to shew her “King and no King,” it being very well done. And so by coach, though hard to get it, being rainy, home. So to my chamber to write letters and the journal for these six last days past.",pepys,1661,09-26,certain,,,,,
"Hewer took up my wife at Unthank’s, and so home, and there with pleasure to read and talk, and so to supper, and put into writing, in merry terms, our agreement between my wife and me, about L30 a-year, and so to bed. This was done under both our hands merrily, and put into W. Hewer’s to keep.",pepys,1669,01-04,certain,,,,,
"All the morning sitting at the office, and then to dinner with my wife, and so to the office again (where a good while Mr. Bland was with me, telling me very fine things in merchandize, which, but that the trouble of my office do so cruelly hinder me, I would take some pains in) till late at night. Towards the evening I, as I have done for three or four nights, studying something of Arithmetique, which do please me well to see myself come forward. So home, to supper, and to bed.",pepys,1662,11-11,certain,,,,,
"After dinner all the afternoon fiddling upon my viallin (which I have not done many a day) while Ashwell danced above in my upper best chamber, which is a rare room for musique, expecting this afternoon my wife to bring my cozen Scott and Stradwick, but they came not, and so in the evening we by ourselves to Half-way house to walk, but did not go in there, but only a walk and so home again and to supper, my father with us, and had a good lobster intended for part of our entertainment to these people to-day, and so to cards, and then to bed, being the first day that I have spent so much to my pleasure a great while.",pepys,1663,04-24,certain,,,,,
"per weeke to take her, and so she away, and my house mighty uncouth, having so few in it, and we shall want a servant or two by it, and the truth is my heart was a little sad all the afternoon and jealous of myself. But she went, and we all glad of it, and so a little to the office, and so home to supper and to bed.",pepys,1666,05-03,certain,,,,,
"So home, and after a little talk with my wife, to the office, and did a great deal of business there till very late, and then home to supper and to bed.",pepys,1663,01-26,certain,,,,,
"By and by home, and there with my people to supper, all in pretty good humour, though I find my wife hath something in her gizzard, that only waits an opportunity of being provoked to bring up; but I will not, for my content-sake, give it. So I to bed, glad to find all so well here, and slept well.",pepys,1668,06-04,certain,,,,,
"So took our coach and home, having now little pleasure to look about me to see the fine faces, for fear of displeasing my wife, whom I take great comfort now, more than ever, in pleasing; and it is a real joy to me. So home, and to my Office, where spent an hour or two; and so home to my wife, to supper and talk, and so to bed.",pepys,1668,12-09,certain,,,,,
"He hath also sent each of us some anchovies, olives, and muscatt; but I know not yet what that is, and am ashamed to ask. After supper home, and to bed, resolving to make up this week in seeing plays and pleasure, and so fall to business next week again for a great while.",pepys,1662,05-21,certain,,,,,
"Knipp, just to speake with me privately, to excuse her not coming to me yesterday, complaining how like a devil her husband treats her, but will be with us in towne a weeke hence, and so I kissed her and parted. Being come home, my wife and I to look over our house and consider of laying out a little money to hang our bedchamber better than it is, and so resolved to go and buy something to-morrow, and so after supper, with great joy in my heart for my coming once again hither, to bed.",pepys,1666,01-06,certain,,,,,
