content,VST,HST,SA,OR,WB
29 I think that there is meaning in what I do.,,,1,,
57 I have a goal in life.,,,1,,
22 We should spend our lives in the company of others.,,,,,1
50 I take trouble to cultivate my relationships.,,,,,1
78 I need to be around other people.,,,,,1
106 I spend as much time as possible in the company of other people.,,,,,1
134 Friendships are among the most important things in my life.,,,,,1
23 Having fun is the most important thing in life.,,,,,1
51 A good sense of humour makes life easier.,,,,,1
79 People with whom I spend a lot of time should have a happy disposition.,,,,,1
107 I feel more attracted to cheerful people than serious ones.,,,,,1
135 It is important for me to laugh heartily at least once a day.,,,,,1
24 I take a great deal of time on matters of love and romance.,,,,,1
52 I love to indulge in romantic feelings.,,,,,1
80 I make a great effort to be intimate with a person I feel close to.,,,,,1
108 In my life everything revolves around love.,,,,,1
25 People should spoil themselves regularly.,,,,,1
53 I take time to relax.,,,,,1
"81 If I really want something, I treat myself to it.",,,,,1
109 Whatever I do the most important thing is that I feel good doing it.,,,,,1
119 I do some things regularly because they make me feel good.,,,,,1
137 I take enough time to laze around.,,,,,1
151 Now and then I really spoil myself and don’t watch my finances as much as normally. ,,,,,1
26 I am a caring person.,,,,,1
54 The wellbeing of others is very important to me.,,,,,1
82 I am always thinking of how I can make other people happy.,,,,,1
110 If someone asks me I’m always prepared to help.,,,,,1
27 Transitions from one phase of life to another need to be celebrated.,,,,,1
"55 At a birth, a wedding or a death it is important to perform certain rituals.",,,,,1
83 I want to experience every moment of my life to the full.,,,,,1
111 At New Year I always take time to reflect on life.,,,,,1
126 There are things that I regularly do with others that have a special meaning for me.,,,,,1
139 I think it is important to experience the change of seasons and to celebrate them. ,,,,,1
142 Some things are so important to me that I celebrate them regularly.,,,,,1
28 A feeling of harmony is very important in my life.,,,,,1
56 Creating a positive atmosphere is very important to me when I am together with other people. ,,,,,1
84 When dealing with other people harmony is very important to me.,,,,,1
112 I am striving for inner harmony.,,,,,1
140 It is very important for me to live in harmony with myself and with others.,,,,,1
143 I pay great attention to my inner equilibrium.,,,,,1
10 I need a bit of risk and excitement in my life.,,,1,,
12 I accept the challenges life throws at me.,,,1,,
38 People should try everything once.,,,1,,
67 Limits are there to be shattered.,,,1,,
94 I look for challenges.,,,1,,
122 I’m a person who likes to take risks.,,,1,,
11 The most important goal in my life is personal fulfilment.,,,1,,
39 Independence is immensely important to me.,,,1,,
95 I want to be different from other people.,,,1,,
123 It is my aim in life to discover and live out my abilities and interests.,,,1,,
146 Making my own way in life is crucial for me.,,,1,,
40 I am a fighter.,,,1,,
68 I would prefer to lead a group rather than just be a member.,,,1,,
96 I like to be able to influence other people.,,,1,,
124 When I get the opportunity I show my strengths.,,,1,,
13 Life for me means striving for growth and development.,,,1,,
41 I strive to fulfil my goals.,,,1,,
69 I am always on the lookout for tasks that will teach me something.,,,1,,
97 Lifelong learning is important to me.,,,1,,
125 I am always striving to change and improve myself.,,,1,,
147 Life should mean development and change.,,,1,,
14 Success is what matters to me.,,,1,,
42 I admire people who are successful.,,,1,,
70 I need to produce excellent results.,,,1,,
98 I am a achievement-orientated person.,,,1,,
15 I want to be free and independent.,,,1,,
43 Independence means a lot to me.,,,1,,
71 I am a freedom-loving person.,,,1,,
99 I have a strong need for freedom.,,,1,,
127 I am driven by a desire for freedom.,,,1,,
148 Freedom is the most important thing for me.,,,1,,
16 I have a great thirst for knowledge.,,,1,,
44 I like to question everything.,,,1,,
72 In my free time I have a thirst for knowledge about things I want to know more about.,,,1,,
100 I want to be able to understand everything that crosses my path.,,,1,,
128 I read a lot.,,,1,,
17 Picasso was right saying that the most important things in life are to be creative and imaginative. ,,,1,,
45 I like to be creative.,,,1,,
73 I live my life imaginatively.,,,1,,
101 Creativity plays a very important role in my life.,,,1,,
129 In my free time I undertake creative activities.,,,1,,
18 Leading an ordered life is important.,,,,1,
46 I like my life to follow a certain routine.,,,,1,
74 People shouldn’t question tried and tested traditions.,,,,1,
102 Schools should present and teach values and not question them.,,,,1,
"130 Instead of looking for something new, I prefer the tried and tested.",,,,1,
149 I like to hold onto traditions.,,,,1,
19 I need to see clear results at the end of a working day.,,,,1,
"47 Instead of philosophising, people should take life by the horns.",,,,1,
75 Going through life with both feet firmly on the ground is very important to me.,,,,1,
103 I am more of a doer than a thinker.,,,,1,
131 People should always be realists.,,,,1,
136 People should concentrate on the useful and necessary things in life.,,,,1,
138 I prefer to learn things that are practical rather than theoretical.,,,,1,
141 Actions speak louder than words.,,,,1,
20 Good manners are important to me.,,,,1,
48 I have clear moral concepts.,,,,1,
76 Everyone needs clear values to hold on to.,,,,1,
132 Parents should once again teach their children morals.,,,,1,
21 Problems can only be solved rationally.,,,,1,
49 Reason is the measure of all things.,,,,1,
77 I don’t take decisions lightly but I take time to think them through.,,,,1,
105 I weigh up the pros and cons before taking a decision.,,,,1,
133 I would describe myself as a sensible person.,,,,1,
3 I intervene when I see injustice being done.,,1,,,
31 I am committed to seeing justice done.,,1,,,
59 Building a fair society is more important to me than financial gains.,,1,,,
5 I feel very close to nature and the outdoors.,,1,,,
33 It is my aim to live in harmony with nature.,,1,,,
61 I do my bit to protect the environment.,,1,,,
87 I agree with increased petrol prices for the sake of the environment.,,1,,,
89 I feel safe and sound in nature and the outdoors.,,1,,,
115 I would be prepared to suffer financial losses for the sake of the environment.,,1,,,
117 I only really feel alive when I’m outdoors in nature.,,1,,,
6 To understand myself and my behaviour is important for me.,,1,,,
34 Viewing myself critically is important to me.,,1,,,
"62 Even though it takes a lot of effort, I’m always in search of self-knowledge.",,1,,,
90 It is very important for me to practice selfreflection.,,1,,,
118 I often think about who I am.,,1,,,
144 I deliberately take time to think about myself.,,1,,,
7 I pay great attention to my health.,,1,,,
35 I have a lifestyle that is good for my health.,,1,,,
63 I think a healthy diet is of great importance.,,1,,,
91 Enjoying yourself is more important than health.,,1,,,
8 You should leave something behind for future generations.,,1,,,
36 I strive to do something for future generations.,,1,,,
64 I want to make a difference for the future.,,1,,,
92 I try to create things of lasting value.,,1,,,
120 I try to make the world a better place to live in.,,1,,,
4 Religion plays an important role in my life.,1,,,,
9 Everyone’s fate is predestined.,1,,,,
32 Prayer is important to me.,1,,,,
60 My religion gives me strength.,1,,,,
93 There is a reason for everything happening the way it does.,1,,,,
65 I believe in miracles.,1,,,,
85 I feel I belong to something bigger than myself.,1,,,,
116 I strive for inner peace and balance.,1,,,,
121 I think that there is another reality to the one we already know.,1,,,,
37 There are certain things in life I consider sacred.,1,,,,
88 I try to make sure I have a balanced day.,,,,1,
104 I need a sense of security in my life.,,,1,,
150 I like to go out.,,,,,1